heading (radians),x (meters),y (meters),theta (radians),cost
-1.0904842047982777,-2.0707643341642243,-0.3421801402297269,-1.0904842047982777,1.3636693866655708e-06
-1.0904835782031876,-2.0707637451059164,-0.3421813237296014,-1.0904835782031876,1.321991544238034e-06
-1.0904829546372052,-2.0707631741327996,-0.3421824355902436,-1.0904829546372052,1.2498977508951459e-06
-1.0904823282877278,-2.070762622454259,-0.34218351888239573,-1.0904823282877278,1.2156772183010323e-06
-1.0904817130733495,-2.0707620643492985,-0.342184583508099,-1.0904817130733495,1.202043690947155e-06
-1.0904811035681055,-2.070761483049648,-0.34218565437425463,-1.0904811035681055,1.2184677292091716e-06
-1.0904804623559414,-2.07076096277501,-0.3421867656631566,-1.0904804623559414,1.2270487857442924e-06
-1.0904798134877467,-2.070760405151757,-0.3421879561563901,-1.0904798134877467,1.3146169902964004e-06
-1.0904792095108968,-2.07075976468343,-0.3421891096376731,-1.0904792095108968,1.3193630083733316e-06
-1.0904786230321624,-2.0707590758381538,-0.34219029658817807,-1.0904786230321624,1.372355389864851e-06
-1.0904780307810535,-2.070758428742948,-0.342191459247622,-1.0904780307810535,1.3306048203884935e-06
-1.0904774391818155,-2.0707578089154475,-0.34219255614023175,-1.0904774391818155,1.259904570832355e-06
-1.0904768411545367,-2.0707572166151555,-0.34219362961420624,-1.0904768411545367,1.2260367081446181e-06
-1.0904762270045423,-2.070756662922957,-0.3421947101726244,-1.0904762270045423,1.2141587811977725e-06
-1.0904756032526557,-2.070756091021578,-0.34219583194021874,-1.0904756032526557,1.2591400727224842e-06
-1.0904749494415036,-2.0707555606054746,-0.342197008002271,-1.0904749494415036,1.2901407650185842e-06
-1.090474297400928,-2.070755008141849,-0.3421982053547024,-1.090474297400928,1.3186617847488388e-06
-1.090473642222043,-2.0707544783147367,-0.3421993641921271,-1.090473642222043,1.2742138540658605e-06
-1.0904729848225057,-2.07075396416868,-0.34220048931645025,-1.0904729848225057,1.2370331080113668e-06
-1.0904723451843,-2.070753414016826,-0.3422015938759729,-1.0904723451843,1.2339849275075881e-06
-1.0904717486802984,-2.070752787874556,-0.3422026582411037,-1.0904717486802984,1.2348794572770509e-06
-1.0904711534618712,-2.070752145095001,-0.34220378117497663,-1.0904711534618712,1.293887954662832e-06
-1.0904705434758106,-2.070751539572546,-0.3422049374024186,-1.0904705434758106,1.3051893888831505e-06
-1.0904699506276034,-2.070750907678563,-0.34220606271226045,-1.0904699506276034,1.290586008914418e-06
-1.0904693477498089,-2.070750302386097,-0.34220718658072163,-1.0904693477498089,1.2765027564997624e-06
-1.0904687306192868,-2.070749706598389,-0.3422083224069053,-1.0904687306192868,1.2826005272748678e-06
-1.0904680932961024,-2.0707491404318334,-0.34220949447305776,-1.0904680932961024,1.3016465089370743e-06
-1.090467452285763,-2.0707485975062543,-0.3422106109914731,-1.090467452285763,1.2415238847026478e-06
-1.0904668399344182,-2.070748009581635,-0.3422116918745403,-1.0904668399344182,1.230432266673336e-06
-1.0904662504918754,-2.070747379874753,-0.34221278575142783,-1.0904662504918754,1.2621796237147517e-06
-1.0904656430163362,-2.07074679182357,-0.3422139039249505,-1.0904656430163362,1.2633749326492537e-06
-1.090465050064339,-2.0707461737810733,-0.3422150065201303,-1.090465050064339,1.2639986781421012e-06
-1.0904644490329274,-2.0707455651266944,-0.3422161137959286,-1.0904644490329274,1.2635346637084475e-06
-1.0904638382235987,-2.0707449456444893,-0.3422172855189597,-1.0904638382235987,1.325402981751262e-06
-1.090463216707683,-2.0707443421039584,-0.3422184845467163,-1.090463216707683,1.3423593905791873e-06
-1.0904625645682013,-2.0707438135344027,-0.34221964306608177,-1.0904625645682013,1.273402094949357e-06
-1.0904619364375272,-2.0707432541285864,-0.34222075055900725,-1.0904619364375272,1.2407559983072156e-06
-1.090461339136228,-2.0707426510915212,-0.34222181404682545,-1.090461339136228,1.222562898761128e-06
-1.0904607360420775,-2.0707420637825145,-0.3422228815861692,-1.0904607360420775,1.2184301867127717e-06
-1.090460110995711,-2.0707414949717573,-0.342224009846516,-1.090460110995711,1.2635335720360077e-06
-1.0904594739835405,-2.0707409135529686,-0.3422252022524633,-1.0904594739835405,1.3266045947745763e-06
-1.090458834588469,-2.0707403545251157,-0.34222636848808546,-1.090458834588469,1.2932972074389696e-06
-1.0904581906212416,-2.0707398185211945,-0.3422274989497104,-1.0904581906212416,1.2510969942460267e-06
-1.0904575433888912,-2.0707392903526043,-0.3422286104566342,-1.0904575433888912,1.2306135467328206e-06
-1.0904568953477176,-2.0707387288425836,-0.34222976759646084,-1.0904568953477176,1.2861827559522415e-06
-1.090456260488219,-2.0707381528076385,-0.34223090125546957,-1.090456260488219,1.2716127578820235e-06
-1.0904556898898334,-2.0707374850918656,-0.3422319614516334,-1.0904556898898334,1.2529406447380702e-06
-1.0904551388829038,-2.070736785214026,-0.34223305013755484,-1.0904551388829038,1.2942434183577192e-06
-1.0904545518215756,-2.0707361616068134,-0.34223416157821673,-1.0904545518215756,1.2744356792076378e-06
-1.090453952533977,-2.070735567373889,-0.34223527113251945,-1.090453952533977,1.2586594133739303e-06
-1.0904533247599868,-2.070735004553881,-0.3422364210961554,-1.0904533247599868,1.2803057157502928e-06
-1.0904526913782768,-2.0707344539544734,-0.34223754062511735,-1.0904526913782768,1.2475996169204985e-06
-1.0904520460731588,-2.0707338838346248,-0.3422387307015151,-1.0904520460731588,1.319590267601703e-06
-1.0904514025069583,-2.0707333119652636,-0.3422399240492201,-1.0904514025069583,1.3232963807379865e-06
-1.0904507611629413,-2.0707327666746114,-0.3422410569066842,-1.0904507611629413,1.2572620766423257e-06
-1.0904501654168055,-2.0707321434306336,-0.34224213326189995,-1.0904501654168055,1.2437739369566515e-06
-1.0904495736790598,-2.0707315413151566,-0.34224318403961135,-1.0904495736790598,1.2110643444726444e-06
-1.0904489573761784,-2.0707309669997973,-0.34224428750783326,-1.0904489573761784,1.2439775917008382e-06
-1.0904483281439497,-2.070730378663618,-0.34224545844883353,-1.0904483281439497,1.3104359145063017e-06
-1.090447698665899,-2.07072979203771,-0.3422466351674072,-1.090447698665899,1.3148370839891901e-06
-1.0904470642555306,-2.070729233450782,-0.3422477769168775,-1.0904470642555306,1.2710669570738751e-06
-1.0904464253746569,-2.0707286953442727,-0.34224888816337223,-1.0904464253746569,1.2346770375997476e-06
-1.0904457832952408,-2.0707281458624425,-0.34225001075789147,-1.0904457832952408,1.2498594866597983e-06
-1.090445142349001,-2.0707275602831907,-0.34225118783330966,-1.090445142349001,1.314689925493656e-06
-1.0904445116386237,-2.070726989908152,-0.3422523134950204,-1.0904445116386237,1.26191995461056e-06
-1.090443940946312,-2.0707263248412646,-0.34225337061757743,-1.090443940946312,1.248928366741901e-06
-1.0904433928359407,-2.070725630414136,-0.34225443855569737,-1.0904433928359407,1.2738606144600237e-06
