x,y,z,orientation_x,orientation_y,orientation_z,orientation_w
-1.9606660231600979,-0.623993331375665,0.007819181777191835,-7.811780819373565e-05,0.0033017712027946467,0.027645153311627386,0.9996123437127561
-1.9606648158500442,-0.6239932324954544,0.007819476537344263,-7.976019521707862e-05,0.0033027707670210196,0.02764555063204052,0.9996123292926228
-1.9606636191380125,-0.6239931391990492,0.007822288646407532,-8.113135038882847e-05,0.0033033257723922263,0.027645947280976312,0.9996123163784463
-1.9606624136118869,-0.6239929985251902,0.007824637011147316,-8.485399709332847e-05,0.003304411830543276,0.027646336969230103,0.9996123017022336
-1.9606611632507163,-0.6239928930504078,0.00783914163040462,-8.678360337085175e-05,0.003308455637647017,0.02764672769121624,0.9996122773545089
-1.9606599553905464,-0.6239928060241655,0.007845364906760488,-8.780894996247738e-05,0.003310227969124796,0.027647121572958948,0.999612260503597
-1.960658774494398,-0.623992734690508,0.007834946861744047,-8.805772290998471e-05,0.003309897367945231,0.02764751849033831,0.9996122505984896
-1.960657519201829,-0.6239927168506667,0.007817792356925401,-8.562888975098987e-05,0.0033111920295198333,0.0276479202807589,0.9996122354089039
-1.9606562880798741,-0.623992718806474,0.007834803408475935,-8.222659129353235e-05,0.003314028623657261,0.027648326287589505,0.9996122150647041
-1.9606551532709378,-0.6239927035940472,0.007837033568676197,-7.97798484167522e-05,0.003311297455517433,0.0276487342942907,0.9996122130287629
-1.9606540336046547,-0.6239926762180522,0.007845659511055765,-7.797688363496248e-05,0.003308235595903809,0.02764914102479177,0.9996122120589758
-1.9606529123628988,-0.6239926371424648,0.007842000257676226,-7.672157933727371e-05,0.0033052640655322945,0.027649546209318365,0.9996122107785975
-1.9606517630748448,-0.6239925181854042,0.007841230214523839,-7.943092154879218e-05,0.003303482864217389,0.027649941552303582,0.9996122055196449
-1.9606506210711332,-0.6239924355343884,0.00782921117869588,-8.032771752026425e-05,0.003300743695314188,0.027650339077904228,0.9996122035006341
-1.9606493874169055,-0.6239923767879134,0.00781700143177662,-7.996900882230152e-05,0.0033017639543073915,0.027650737085219142,0.9996121891505684
-1.9606481341330246,-0.623992302836158,0.00782247642320328,-8.030799584672495e-05,0.0033052053256772463,0.027651133958826582,0.9996121667722798
-1.9606469332283294,-0.6239922323120232,0.007826126813169543,-8.054182020876965e-05,0.003305926148206975,0.02765153280394052,0.9996121533369382
-1.9606457300783091,-0.623992184782334,0.00783666277961604,-7.964060601042177e-05,0.0033071128575395186,0.02765193341241071,0.9996121384019289
-1.9606445324153747,-0.6239921423461511,0.007845018060213465,-7.846864703876462e-05,0.00330837233245541,0.027652335367286365,0.9996121232077554
-1.9606433697167547,-0.6239921055698114,0.007839837890520788,-7.702123142807797e-05,0.0033074808749256183,0.027652739741112875,0.9996121150840471
-1.9606421804802352,-0.6239920729650923,0.007818433307037879,-7.53830688456759e-05,0.0033058999358266078,0.027653145220934403,0.9996121092215706
-1.9606410166830717,-0.6239919604462415,0.007816131643376405,-7.77745857645627e-05,0.0033042384259163817,0.027653542523679315,0.9996121035408833
-1.960639799211813,-0.6239918257168467,0.007827785805218682,-8.120510502307873e-05,0.003306044787261578,0.027653932951687714,0.9996120864945057
-1.9606386218091076,-0.6239917343586535,0.007835176459530021,-8.250997491875799e-05,0.0033060133297571205,0.027654326913678282,0.9996120755927868
-1.9606374318659514,-0.623991685040915,0.007845484150637481,-8.17013370630339e-05,0.0033069101790832835,0.027654725410025328,0.999612061668153
-1.9606362770009638,-0.6239916433564562,0.007839890724147792,-8.050849968983656e-05,0.0033056419248390454,0.02765512729969733,0.9996120548412187
-1.9606350953296348,-0.6239916077118456,0.007818441169705235,-7.903174614224401e-05,0.00330368593830609,0.027655531049260506,0.9996120502552915
-1.9606338511187784,-0.6239915714129016,0.007823414144186717,-7.753054882598947e-05,0.0033061155123556805,0.027655933324399817,0.999612031210704
-1.9606326325139418,-0.6239915333597442,0.00783856960099698,-7.61383274230622e-05,0.0033084310456548607,0.027656336671588316,0.9996120124972884
-1.9606314565519045,-0.6239914996297117,0.007845341518633276,-7.455160019475079e-05,0.0033085391360945047,0.027656741894385196,0.9996120010477222
-1.9606303091607495,-0.6239914675921779,0.00783355826239852,-7.288974890057682e-05,0.003306356789731718,0.027657148586731885,0.9996119971388475
-1.9606291738040404,-0.6239913496063366,0.007828297677754248,-7.557110730363782e-05,0.0033033007994406104,0.027657546267830645,0.999611996040103
-1.9606279898675951,-0.6239912247918773,0.007817990171130901,-7.857210308173262e-05,0.0033018744629279145,0.027657939330882623,0.999611989645695
-1.960626743438449,-0.6239911320394071,0.007830341907484798,-7.987086893391917e-05,0.0033053939427462094,0.027658332069011932,0.9996119670445566
-1.9606255544630002,-0.6239910213587415,0.00783178021193948,-8.211613101756447e-05,0.00330560940595701,0.027658724716903827,0.9996119552858654
-1.9606243378075547,-0.6239909415824302,0.007844059037589933,-8.279670313168678e-05,0.0033078982069059282,0.027659119532996962,0.99961193673386
-1.9606231604363502,-0.6239908748122305,0.007843073192801989,-8.283059785635495e-05,0.003307979647286767,0.02765951752098191,0.9996119254491974
-1.960621978841523,-0.6239908191288577,0.0078225510746665,-8.232622932455315e-05,0.0033064733168460306,0.02765991793487496,0.9996119193949385
-1.960620726952873,-0.6239907694462277,0.007819064232670168,-8.148742089276219e-05,0.0033086625706499834,0.027660317685892503,0.9996119011582993
-1.9606195182054458,-0.6239907036563148,0.007828555965921266,-8.147808201044494e-05,0.003310120363058345,0.027660717237680883,0.9996118852766813
-1.960618381650058,-0.6239906473383361,0.007833209104777021,-8.108932482649344e-05,0.0033075589764797963,0.02766111887162665,0.9996118826729244
-1.9606172263461885,-0.6239905823119096,0.00784494497820993,-8.111291002895344e-05,0.0033067407514995803,0.02766151810351467,0.9996118743304859
-1.9606160891928968,-0.6239905234307236,0.007841816704453788,-8.08211491632698e-05,0.0033045667636054286,0.027661918619827457,0.9996118704600885
-1.9606149240591506,-0.6239903890204939,0.007841202743370208,-8.427739792438332e-05,0.0033035910222484585,0.027662310126858713,0.9996118625657279
-1.9606137419366012,-0.6239903330898742,0.007842392103923339,-8.379997360729772e-05,0.0033035619347977748,0.027662707865530732,0.9996118516952736
-1.9606125281034206,-0.6239902983295684,0.007818844928333884,-8.223357122546156e-05,0.003303275926457534,0.027663109140705185,0.9996118416657853
